tipo,id,size_kb,truncado,falta_seccion,llm_bloqueado,sin_citas,todos_cero,cells_dash_pct
mpio,23570,1.6,1,0,0,0,0,0
mpio,23574,1.6,1,0,0,0,0,0
mpio,23580,1.8,1,0,0,0,0,0
mpio,23586,1.6,1,0,0,0,0,0
mpio,23660,1.6,1,0,0,0,0,0
mpio,23670,1.8,1,0,0,0,0,0
mpio,23672,1.6,1,0,0,0,0,0
mpio,23675,1.6,1,0,0,0,0,0
mpio,23678,1.6,1,0,0,0,0,0
mpio,23682,1.9,1,0,0,0,0,0
mpio,23686,1.6,1,0,0,0,0,0
mpio,23807,1.8,1,0,0,0,0,0
mpio,23815,1.6,1,0,0,0,0,0
mpio,23855,1.6,1,0,0,0,0,0
mpio,25001,1.6,1,0,0,0,0,0
mpio,25019,1.6,1,0,0,0,1,0
mpio,25035,1.6,1,0,0,0,0,0
mpio,25040,1.6,1,0,0,0,0,0
mpio,25053,1.6,1,0,0,0,0,0
mpio,25086,1.6,1,0,0,0,1,0
mpio,25095,1.6,1,0,0,0,1,0
mpio,25099,1.6,1,0,0,0,0,0
mpio,25120,1.6,1,0,0,0,0,0
mpio,25123,1.6,1,0,0,0,0,0
mpio,25126,1.6,1,0,0,0,0,0
mpio,25148,1.6,1,0,0,0,1,0
mpio,25151,1.6,1,0,0,0,0,0
mpio,25154,1.6,1,0,0,0,0,0
mpio,25168,1.6,1,0,0,0,0,0
mpio,25175,1.8,1,0,0,0,0,0
mpio,25178,1.6,1,0,0,0,0,0
mpio,25181,1.6,1,0,0,0,0,0
mpio,25183,1.6,1,0,0,0,0,0
mpio,25200,1.6,1,0,0,0,0,0
mpio,25214,1.8,1,0,0,0,0,0
mpio,25224,1.6,1,0,0,0,0,0
mpio,25245,1.6,1,0,0,0,0,0
mpio,25258,1.6,1,0,0,0,1,0
mpio,25260,1.6,1,0,0,0,0,0
mpio,25269,1.6,1,0,0,0,0,0
mpio,25279,1.6,1,0,0,0,0,0
mpio,25281,1.6,1,0,0,0,0,0
mpio,25286,1.6,1,0,0,0,0,0
mpio,25288,1.6,1,0,0,0,1,0
mpio,25290,1.6,1,0,0,0,0,0
mpio,25293,1.6,1,0,0,0,1,0
mpio,25295,1.6,1,0,0,0,0,0
mpio,25297,1.6,1,0,0,0,0,0
mpio,25299,1.6,1,0,0,0,0,0
mpio,25307,1.6,1,0,0,0,0,0
mpio,25312,1.6,1,0,0,0,0,0
mpio,25317,1.6,1,0,0,0,0,0
mpio,25320,1.6,1,0,0,0,0,0
mpio,25322,1.6,1,0,0,0,0,0
mpio,25324,1.6,1,0,0,0,0,0
mpio,25326,1.6,1,0,0,0,0,0
mpio,25328,1.6,1,0,0,0,1,0
mpio,25335,1.6,1,0,0,0,0,0
mpio,25339,1.6,1,0,0,0,0,0
mpio,25368,1.6,1,0,0,0,0,0
mpio,25372,1.6,1,0,0,0,1,0
mpio,25377,1.6,1,0,0,0,0,0
mpio,25386,1.6,1,0,0,0,0,0
mpio,25394,1.6,1,0,0,0,0,0
mpio,25398,1.6,1,0,0,0,0,0
mpio,25402,1.6,1,0,0,0,0,0
mpio,25407,1.6,1,0,0,0,0,0
mpio,25426,1.6,1,0,0,0,0,0
mpio,25430,1.6,1,0,0,0,0,0
mpio,25436,1.6,1,0,0,0,0,0
mpio,25438,1.6,1,0,0,0,0,0
mpio,25473,1.6,1,0,0,0,0,0
mpio,25483,1.6,1,0,0,0,0,0
mpio,25486,1.6,1,0,0,0,0,0
mpio,25488,1.6,1,0,0,0,0,0
mpio,25489,1.6,1,0,0,0,1,0
mpio,25491,1.6,1,0,0,0,0,0
mpio,25506,1.6,1,0,0,0,0,0
mpio,25513,1.6,1,0,0,0,0,0
mpio,25518,1.6,1,0,0,0,0,0
mpio,25524,1.6,1,0,0,0,0,0
mpio,25530,1.6,1,0,0,0,0,0
mpio,25535,1.6,1,0,0,0,0,0
mpio,25572,1.6,1,0,0,0,0,0
mpio,25580,1.6,1,0,0,0,1,0
mpio,25592,1.6,1,0,0,0,1,0
mpio,25594,1.6,1,0,0,0,1,0
mpio,25596,1.6,1,0,0,0,0,0
mpio,25599,1.6,1,0,0,0,0,0
mpio,25612,1.6,1,0,0,0,0,0
mpio,25645,1.6,1,0,0,0,0,0
mpio,25649,1.6,1,0,0,0,0,0
mpio,25653,1.6,1,0,0,0,1,0
mpio,25658,1.6,1,0,0,0,0,0
mpio,25662,1.6,1,0,0,0,0,0
mpio,25718,1.6,1,0,0,0,0,0
mpio,25736,1.8,1,0,0,0,0,0
mpio,25740,1.6,1,0,0,0,0,0
mpio,25743,1.6,1,0,0,0,0,0
mpio,25745,1.6,1,0,0,0,0,0
mpio,25754,1.6,1,0,0,0,0,0
mpio,25758,1.6,1,0,0,0,0,0
mpio,25769,1.6,1,0,0,0,0,0
mpio,25772,1.6,1,0,0,0,0,0
mpio,25777,1.6,1,0,0,0,0,0
mpio,25779,1.6,1,0,0,0,1,0
mpio,25781,1.6,1,0,0,0,0,0
mpio,25785,1.6,1,0,0,0,0,0
mpio,25793,1.6,1,0,0,0,0,0
mpio,25797,1.6,1,0,0,0,0,0
mpio,25799,1.6,1,0,0,0,0,0
mpio,25805,1.6,1,0,0,0,1,0
mpio,25807,1.6,1,0,0,0,1,0
mpio,25815,1.6,1,0,0,0,0,0
mpio,25817,1.6,1,0,0,0,0,0
mpio,25823,1.6,1,0,0,0,0,0
mpio,25839,1.6,1,0,0,0,0,0
mpio,25841,1.6,1,0,0,0,0,0
mpio,25843,1.6,1,0,0,0,0,0
mpio,25845,1.6,1,0,0,0,0,0
mpio,25851,1.6,1,0,0,0,1,0
mpio,25862,1.6,1,0,0,0,0,0
mpio,25867,1.6,1,0,0,0,0,0
mpio,25871,1.6,1,0,0,0,1,0
mpio,25873,1.6,1,0,0,0,0,0
mpio,25875,1.6,1,0,0,0,0,0
mpio,25878,1.6,1,0,0,0,0,0
mpio,25885,1.6,1,0,0,0,0,0
mpio,25898,1.6,1,0,0,0,0,0
mpio,25899,1.6,1,0,0,0,0,0
mpio,27006,1.9,1,0,0,0,0,0
mpio,27050,1.6,1,0,0,0,0,0
mpio,27073,1.8,1,0,0,0,0,0
mpio,27075,1.9,1,0,0,0,0,0
mpio,27135,1.6,1,0,0,0,0,0
mpio,27160,1.8,1,0,0,0,0,0
mpio,27205,1.8,1,0,0,0,0,0
mpio,27361,1.9,1,0,0,0,0,0
mpio,27450,1.8,1,0,0,0,0,0
mpio,27491,1.6,1,0,0,0,0,0
mpio,27495,1.9,1,0,0,0,0,0
mpio,27580,1.8,1,0,0,0,0,0
mpio,27745,1.9,1,0,0,0,0,0
mpio,27810,1.6,1,0,0,0,0,0
mpio,41001,1.8,1,0,0,0,0,0
